Object ID,Average Speed (km/h),Timestamp,Remarks
565,87.72454234663552,2024-11-06 10:09:10,Speed Limit Violated (>80 km/h)
636,86.13405245754215,2024-11-06 10:09:11,Speed Limit Violated (>80 km/h)
722,84.947423749363,2024-11-06 10:09:13,Speed Limit Violated (>80 km/h)
866,83.14811518741098,2024-11-06 10:09:16,Speed Limit Violated (>80 km/h)
1089,81.86181060534054,2024-11-06 10:09:20,Speed Limit Violated (>80 km/h)
1422,110.17210384291933,2024-11-06 10:09:27,Speed Limit Violated (>80 km/h)
1430,89.29820260841518,2024-11-06 10:09:27,Speed Limit Violated (>80 km/h)
1436,108.05626841058375,2024-11-06 10:09:28,Speed Limit Violated (>80 km/h)
1441,92.7967584870002,2024-11-06 10:09:28,Speed Limit Violated (>80 km/h)
1446,81.57878688954946,2024-11-06 10:09:28,Speed Limit Violated (>80 km/h)
1451,91.46822547216345,2024-11-06 10:09:29,Speed Limit Violated (>80 km/h)
1537,81.19937946304717,2024-11-06 10:09:32,Speed Limit Violated (>80 km/h)
1612,96.93656891891739,2024-11-06 10:09:36,Speed Limit Violated (>80 km/h)
1620,114.46190370525277,2024-11-06 10:09:36,Speed Limit Violated (>80 km/h)
1625,84.0959383209435,2024-11-06 10:09:37,Speed Limit Violated (>80 km/h)
1665,86.55411045476825,2024-11-06 10:09:38,Speed Limit Violated (>80 km/h)
1673,106.76563187138082,2024-11-06 10:09:39,Speed Limit Violated (>80 km/h)
1680,101.07475534565742,2024-11-06 10:09:39,Speed Limit Violated (>80 km/h)
1700,110.86910388554072,2024-11-06 10:09:40,Speed Limit Violated (>80 km/h)
1702,123.50964855066144,2024-11-06 10:09:40,Speed Limit Violated (>80 km/h)
879,83.58314325063894,2024-11-06 10:16:00,Speed Limit Violated (>80 km/h)
833,84.25680032132581,2024-11-06 10:16:02,Speed Limit Violated (>80 km/h)
962,88.68441916830074,2024-11-06 10:16:06,Speed Limit Violated (>80 km/h)
1015,125.22258256229425,2024-11-06 10:16:06,Speed Limit Violated (>80 km/h)
992,83.11629452982854,2024-11-06 10:16:14,Speed Limit Violated (>80 km/h)
1059,86.00478269129088,2024-11-06 10:16:17,Speed Limit Violated (>80 km/h)
1008,105.23875894392228,2024-11-06 10:16:19,Speed Limit Violated (>80 km/h)
